category_common,taxa,region,calories_kcalperg,ash_percent,carbohydrates_percent,lipids_percent,proteins_percent,magnesium_percent,phosphorus_percent,calcium_percent,iron_ppm,copper_ppm,zinc_ppm
Feces,Chromis multilineata fecal pellet,Caribbean,4.005392236,5.844155844,74.32361944,4.783169389,15.04905533,2.32,4.33,9.068,224.83,13.45,118.05
Feces,Chromis multilineata fecal pellet,Caribbean,3.86769158,6,74.96504757,2.153831597,16.88112083,2.12,4.14,8.289,256.32,13.84,135.27
Feces,Chromis multilineata fecal pellet,Caribbean,4.019920656,4.666666667,73.99269944,4.131746457,17.20888744,2.17,4.07,7.691,218.5,13.54,139.56
Feces,Chromis multilineata fecal pellet,Caribbean,3.932145582,7.284768212,71.58153115,4.470726202,16.66297444,2.31,4.26,9.087,278.67,13.79,123.47
Feces,Chromis multilineata fecal pellet,Caribbean,3.74667431,7.284768212,76.8107596,0.761300768,15.14317142,2.4,4.55,10.207,279.4,14.27,126.98
Feces,Chromis multilineata fecal pellet,Caribbean,3.833633562,7.382550336,72.92475809,2.578711498,17.11398008,2.13,4.04,8.279,288.09,13.95,202.47
Feces,Chromis multilineata fecal pellet,Caribbean,3.803037618,6.666666667,75.36880598,1.394085687,16.57044167,1.42,2.18,6.655,391.11,9.75,80.52
Feces,Chromis multilineata fecal pellet,Caribbean,3.923460876,6.666666667,75.148601,3.802550859,14.38218147,2.13,4.07,8.831,263.01,13.29,109.38
Feces,Chromis multilineata fecal pellet,Caribbean,3.878697105,4.635761589,75.78623256,1.282551376,18.29545448,1.44,2.28,6.664,282.24,9.81,154.54
Feces,Chromis multilineata fecal pellet,Caribbean,3.865397705,5.333333333,80.89306027,1.574620765,12.19898563,2.24,4.34,9.34,332.15,15.4,116.19
