site,latitude,longitude,date,time_start,time_end,coprophage_species,phase,behavior,copr_behavior_depth_m,benthos_depth_m,depth_defecated_m,sink_rate_ms
Tolo,12.214962,-68.337958,2019-08-02,12:35:00,12:41:00,Scarus taeniopterus,IP,eaten,16.2,17.1,10.7,0.015
Tolo,12.214962,-68.337958,2019-08-02,12:35:00,12:41:00,none,NA,no coprophagy,NA,17.1,11,0.032
Cliff,12.174285,-68.290726,2019-08-03,13:54:00,14:00:00,Sparisoma aurofrenatum,IP,eaten,10.4,10.4,7.9,0.032
Cliff,12.174285,-68.290726,2019-08-03,13:54:00,14:00:00,Stegastes planifrons,NA,eaten,6.4,6.7,3.4,0.042
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,none,NA,no coprophagy,NA,9.4,7,0.024
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Scarus vetula,IP,eaten,7.6,9.1,5.5,0.016
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Scarus taeniopterus,IP,eaten,6.7,8.5,4.3,0.032
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Stegastes spp.,NA,eaten,6.4,7.6,4,0.027
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Stegastes partitus,NA,tasted,10.1,11,4.6,0.02
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Stegastes spp.,NA,eaten,7,8.8,3.4,0.02
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Acanthurus coeruleus,NA,eaten,9.1,9.8,6.1,0.027
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Stegastes spp.,NA,tasted,11.3,12.5,10.4,0.011
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Microspathodon chrysurus,NA,inspected,9.4,9.8,8.2,0.028
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,none,NA,no coprophagy,NA,7.9,4.6,0.023
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,none,NA,no coprophagy,NA,9.8,4.3,0.021
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Sparisoma aurofrenatum,IP,eaten,5.5,6.1,4,0.012
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Scarus taeniopterus,TP,eaten,5.8,7.3,4.6,0.013
Karpata,12.219123,-68.352684,2019-08-02,14:10:00,15:04:00,Scarus taeniopterus,IP,eaten,7.9,9.1,6.1,0.028
