survey_type,site,transect,depth_m,date,time_start,min,latitude,longitude,species,phase,fork_length_cm
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,0,12.174539,-68.290222,Sparisoma aurofrenatum,TP,20
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,0,12.174539,-68.290222,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,0,12.174539,-68.290222,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,0,12.174539,-68.290222,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,0,12.174539,-68.290222,Scarus vetula,TP,18
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,1,12.174538,-68.290222,Scarus taeniopterus,TP,32
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Scarus taeniopterus,TP,27
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Scarus taeniopterus,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Scarus taeniopterus,TP,26
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,2,12.174537,-68.290228,Sparisoma rubripinne,TP,30
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,3,12.174439,-68.290476,Sparisoma viride,IP,28
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,3,12.174439,-68.290476,Sparisoma viride,TP,32
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,3,12.174439,-68.290476,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,3,12.174439,-68.290476,Scarus vetula,IP,28
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,3,12.174439,-68.290476,Sparisoma aurofrenatum,TP,28
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,3,12.174439,-68.290476,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,3,12.174439,-68.290476,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,4,12.174491,-68.290683,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,4,12.174491,-68.290683,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,4,12.174491,-68.290683,Scarus taeniopterus,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,4,12.174491,-68.290683,Scarus taeniopterus,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,4,12.174491,-68.290683,Sparisoma aurofrenatum,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,4,12.174491,-68.290683,Scarus taeniopterus,TP,27
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,4,12.174491,-68.290683,Sparisoma viride,IP,28
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,4,12.174491,-68.290683,Scarus taeniopterus,IP,18
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,5,12.174594,-68.29097,Sparisoma aurofrenatum,TP,24
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,5,12.174594,-68.29097,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,5,12.174594,-68.29097,Scarus vetula,IP,28
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,5,12.174594,-68.29097,Scarus taeniopterus,TP,28
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,5,12.174594,-68.29097,Scarus taeniopterus,TP,26
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,6,12.174677,-68.291176,Sparisoma viride,TP,34
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,6,12.174677,-68.291176,Scarus taeniopterus,IP,21
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,6,12.174677,-68.291176,Scarus taeniopterus,IP,18
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,6,12.174677,-68.291176,Scarus taeniopterus,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,6,12.174677,-68.291176,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,6,12.174677,-68.291176,Scarus taeniopterus,IP,19
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,7,12.1747,-68.291253,Sparisoma aurofrenatum,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,7,12.1747,-68.291253,Scarus taeniopterus,TP,27
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,7,12.1747,-68.291253,Scarus taeniopterus,IP,18
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,7,12.1747,-68.291253,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,7,12.1747,-68.291253,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,7,12.1747,-68.291253,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,7,12.1747,-68.291253,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,7,12.1747,-68.291253,Scarus taeniopterus,TP,25
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,8,12.174608,-68.291206,Scarus taeniopterus,IP,20
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,8,12.174608,-68.291206,Scarus taeniopterus,IP,18
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,8,12.174608,-68.291206,Scarus taeniopterus,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,8,12.174608,-68.291206,Scarus taeniopterus,IP,18
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,9,12.174529,-68.291135,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,9,12.174529,-68.291135,Sparisoma viride,TP,33
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,9,12.174529,-68.291135,Scarus vetula,IP,27
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,9,12.174529,-68.291135,Sparisoma viride,TP,30
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,10,12.174454,-68.291073,Scarus taeniopterus,IP,20
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,10,12.174454,-68.291073,Scarus taeniopterus,IP,19
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,10,12.174454,-68.291073,Scarus taeniopterus,IP,18
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,10,12.174454,-68.291073,Scarus taeniopterus,TP,27
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,11,12.174373,-68.291011,Sparisoma aurofrenatum,TP,24
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,11,12.174373,-68.291011,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,11,12.174373,-68.291011,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,11,12.174373,-68.291011,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,11,12.174373,-68.291011,Scarus taeniopterus,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,11,12.174373,-68.291011,Scarus taeniopterus,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,12,12.174225,-68.2909,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,12,12.174225,-68.2909,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,12,12.174225,-68.2909,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,12,12.174225,-68.2909,Sparisoma aurofrenatum,TP,23
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,IP,18
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,IP,20
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Sparisoma viride,IP,27
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,TP,26
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,IP,15
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,IP,16
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,IP,19
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,13,12.174103,-68.290819,Scarus taeniopterus,TP,27
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,14,12.173955,-68.290719,Scarus coeruleus,TP,60
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,14,12.173955,-68.290719,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,14,12.173955,-68.290719,Scarus taeniopterus,IP,19
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,15,12.17384,-68.290589,Sparisoma viride,TP,33
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,15,12.17384,-68.290589,Scarus taeniopterus,IP,19
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,15,12.17384,-68.290589,Scarus taeniopterus,IP,17
Scarini survey,Cliff,1,16.8,2019-09-07,12:11:00,15,12.17384,-68.290589,Scarus taeniopterus,IP,16
