site,latitude,longitude,survey_type,duration_min,survey_area_m2,depth_m,transect,species,n,n_per_m2
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,360.96365372314676,17.7,1,Acanthurus chirurgus,2,0.005540724057314555
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,360.96365372314676,17.7,1,Acanthurus coeruleus,7,0.019392534200600945
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,360.96365372314676,17.7,1,Acanthurus tractus,2,0.005540724057314555
Bachelor's Beach,12.125726,-68.288226,C. multilineata survey,10,557.9029862765094,17.6,1,Chromis multilineata,1402,2.5129817091624904
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Scarus iseri,13,0.013867601064811642
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Scarus taeniopterus,52,0.05547040425924657
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Scarus vetula,25,0.026668463586176236
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Sparisoma aurofrenatum,14,0.014934339608258693
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Sparisoma chrysopterum,1,0.0010667385434470495
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Sparisoma viride,27,0.028801940673070334
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Scarus coeruleus,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Sparisoma rubripinne,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,20,937.4368313050815,9.4,1,Scarus guacamaia,0,0
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,255.18903071000796,12.9,2,Acanthurus chirurgus,1,0.003918663734164896
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,255.18903071000796,12.9,2,Acanthurus coeruleus,3,0.011755991202494686
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,255.18903071000796,12.9,2,Acanthurus tractus,4,0.015674654936659583
Bachelor's Beach,12.125726,-68.288226,C. multilineata survey,10,260.77441210749964,12.7,2,Chromis multilineata,1655,6.346481568589465
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Scarus iseri,4,0.00424619146052156
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Scarus taeniopterus,84,0.08917002067095275
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Scarus vetula,4,0.00424619146052156
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Sparisoma aurofrenatum,21,0.02229250516773819
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Sparisoma chrysopterum,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Sparisoma viride,16,0.01698476584208624
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Scarus coeruleus,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Sparisoma rubripinne,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,942.0206406586951,14.7,2,Scarus guacamaia,0,0
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,499.457698585531,9.5,3,Acanthurus chirurgus,9,0.018019544048451124
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,499.457698585531,9.5,3,Acanthurus coeruleus,49,0.09810640648601167
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,499.457698585531,9.5,3,Acanthurus tractus,26,0.052056460584414356
Bachelor's Beach,12.125726,-68.288226,C. multilineata survey,10,568.5481870466576,9.5,3,Chromis multilineata,1279,2.249589444025506
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Scarus iseri,18,0.012218424058452143
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Scarus taeniopterus,70,0.04751609356064722
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Scarus vetula,48,0.032582464155872376
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Sparisoma aurofrenatum,14,0.009503218712129443
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Sparisoma chrysopterum,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Sparisoma viride,42,0.028509656136388332
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Scarus coeruleus,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Sparisoma rubripinne,0,0
Bachelor's Beach,12.125726,-68.288226,Scarini survey,25,1473.1850780337281,9.6,3,Scarus guacamaia,0,0
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,571.082856688574,12.2,4,Acanthurus chirurgus,2,0.0035021187846488813
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,571.082856688574,12.2,4,Acanthurus coeruleus,19,0.03327012845416437
Bachelor's Beach,12.125726,-68.288226,Acanthurid survey,10,571.082856688574,12.2,4,Acanthurus tractus,10,0.017510593923244406
