Comparison,Z,P.unadj,P.adj
Acanthurus coeruleus - Scarus guacamaia,3.7120043754938497,2.0562443179995921e-4,0.013571212498797308
Scarus guacamaia - Scarus iseri,-3.6938348861937498,2.20897265116927e-4,0.014579219497717183
Scarus guacamaia - Scarus taeniopterus,-3.7229775677416295,1.9688702089007862e-4,0.012994543378745189
Acanthurus coeruleus - Scarus vetula,3.7120043754938497,2.0562443179995921e-4,0.013571212498797308
Scarus iseri - Scarus vetula,3.6938348861937498,2.20897265116927e-4,0.014579219497717183
Scarus taeniopterus - Scarus vetula,3.7229775677416295,1.9688702089007862e-4,0.012994543378745189
Acanthurus coeruleus - Sparisoma chrysopterum,3.594132781834186,3.254738307870363e-4,0.021481272831944394
Scarus iseri - Sparisoma chrysopterum,3.52193337483599,4.2841179728549827e-4,0.028275178620842886
Scarus taeniopterus - Sparisoma chrysopterum,3.5497198314421907,3.8564133397031493e-4,0.025452328042040787
Acanthurus coeruleus - Sparisoma viride,3.4681066521040296,5.241392259592824e-4,0.03459318891331264
Scarus iseri - Sparisoma viride,3.3951224003279834,6.85979253378178e-4,0.04527463072295975
Scarus taeniopterus - Sparisoma viride,3.4242650818758626,6.164645685388849e-4,0.0406866615235664
