var,statistic,Feces,Brown algae,Green algae,Red algae
calcium_percent,mean,8.41,2.41,1.26,0.97
calcium_percent,median,8.56,1.31,0.92,0.45
calcium_percent,min,6.66,0.14,0.39,0.18
calcium_percent,max,10.21,9.76,5.92,7.91
calcium_percent,SEM,0.2,NA,NA,NA
magnesium_percent,mean,2.07,1.05,1.66,0.51
magnesium_percent,median,2.15,1.16,1.65,0.47
magnesium_percent,min,1.42,0.49,0.57,0.24
magnesium_percent,max,2.4,1.36,2.94,1.25
magnesium_percent,SEM,0.1,NA,NA,NA
phosphorus_percent,mean,3.83,0.14,0.35,0.21
phosphorus_percent,median,4.11,0.14,0.16,0.16
phosphorus_percent,min,2.18,0.02,0.01,0.06
phosphorus_percent,max,4.55,0.27,3.1,0.54
phosphorus_percent,SEM,0.2,NA,NA,NA
copper_ppm,mean,13.11,6.89,6.16,4.14
copper_ppm,median,13.66,5,3,3.1
copper_ppm,min,9.75,0.3,1,0.3
copper_ppm,max,15.4,11,28,14.92
copper_ppm,SEM,0.4,NA,NA,NA
iron_ppm,mean,281.43,421.29,199.58,294.48
iron_ppm,median,279.03,438,148.76,259
iron_ppm,min,218.5,11.49,14,2.72
iron_ppm,max,391.11,1301,991.03,880
iron_ppm,SEM,11,NA,NA,NA
zinc_ppm,mean,130.64,51.16,16.16,59.47
zinc_ppm,median,125.22,16,11.84,46.5
zinc_ppm,min,80.52,7,0.04,6
zinc_ppm,max,202.47,330,60.04,245.5
zinc_ppm,SEM,7,NA,NA,NA
